,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
145,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,10,35dPTlVylfHvcgIVj1M9LW,This Time Around - D.M. Radio Mix,spotify:track:35dPTlVylfHvcgIVj1M9LW,0.00473,0.86,0.918,1.22e-05,0.0575,-5.515,0.0685,123.336,0.572,30
146,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,11,4Uw7RAKTS31MDUJ9KSxmCz,Earth Song - Hani's Extended Radio Experience,spotify:track:4Uw7RAKTS31MDUJ9KSxmCz,0.00594,0.731,0.614,0.686,0.106,-10.177,0.0463,129.343,0.548,34
147,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,12,0QMzztcTWRykks8aXErji5,You Are Not Alone - Classic Club Mix,spotify:track:0QMzztcTWRykks8aXErji5,0.00363,0.606,0.853,0.0062,0.0432,-7.189,0.0364,124.516,0.695,33
148,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,13,2tjDDVaEtfp6JPtnTEAvoE,History - Tony Moran's HIStory Lesson,spotify:track:2tjDDVaEtfp6JPtnTEAvoE,0.00198,0.677,0.881,0.0192,0.109,-5.878,0.0489,123.93,0.683,35
150,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",2,541jTq3SOEELKvcfA0jHI0,The Way You Make Me Feel,spotify:track:541jTq3SOEELKvcfA0jHI0,0.037,0.607,0.817,0.000607,0.116,-5.926,0.11,114.482,0.508,59
152,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",4,5yxIenY5kSLlgTr3XGYw9p,Rock With You,spotify:track:5yxIenY5kSLlgTr3XGYw9p,0.0794,0.793,0.741,0.00029,0.116,-6.494,0.0393,114.489,0.856,60
153,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",5,1UpdFu6w98DuTMW8twhT6D,She's Out Of My Life,spotify:track:1UpdFu6w98DuTMW8twhT6D,0.96,0.247,0.12,0.000759,0.111,-15.419,0.0361,88.918,0.126,46
154,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",6,3FvQH46A4B37eNHjooIXcu,Bad,spotify:track:3FvQH46A4B37eNHjooIXcu,0.00712,0.802,0.869,0.241,0.0585,-5.03,0.0456,114.14,0.339,56
155,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",7,4yD5hKvrw3L6sRJbzgaFwe,I Just Can't Stop Loving You,spotify:track:4yD5hKvrw3L6sRJbzgaFwe,0.63,0.655,0.488,5.74e-06,0.0412,-8.237,0.0354,100.158,0.251,53
156,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",8,2u2udGmop1z67EPpr91km7,Man in the Mirror,spotify:track:2u2udGmop1z67EPpr91km7,0.429,0.794,0.798,1.16e-05,0.118,-5.639,0.0366,100.338,0.265,67
164,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",1,4LD5dhQ3kqpqe14sGPDtBC,Scream,spotify:track:4LD5dhQ3kqpqe14sGPDtBC,0.0745,0.805,0.942,1.46e-05,0.415,-6.584,0.0905,106.525,0.608,62
165,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",2,3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,spotify:track:3wuCCNCnBhJlwkIJTBZFiv,0.205,0.859,0.905,0.00837,0.322,-5.539,0.129,89.946,0.731,76
166,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",3,64KrFHj9p5AyCX2yZQr4YJ,Stranger in Moscow,spotify:track:64KrFHj9p5AyCX2yZQr4YJ,0.248,0.802,0.468,0.000601,0.32,-8.629,0.0378,129.937,0.586,61
167,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",4,6U6Cr0sQTmuvPqEs8iLgPn,This Time Around,spotify:track:6U6Cr0sQTmuvPqEs8iLgPn,0.0471,0.879,0.825,0.000531,0.0648,-4.698,0.0534,105.857,0.9,49
168,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",5,4GCGH6TJ69neckwITeBFXK,Earth Song,spotify:track:4GCGH6TJ69neckwITeBFXK,0.482,0.501,0.439,0.000117,0.087,-7.521,0.0313,138.377,0.145,70
169,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",6,7roNDDmU52OYgYwCN9SI8E,D.S.,spotify:track:7roNDDmU52OYgYwCN9SI8E,0.218,0.889,0.914,0.00595,0.347,-4.308,0.0637,109.464,0.972,46
170,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",7,2VCSO1mqWPALcPbEQwgSd3,Money,spotify:track:2VCSO1mqWPALcPbEQwgSd3,0.032,0.899,0.681,1.82e-05,0.196,-6.913,0.0804,102.942,0.817,47
171,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",8,3tE5OfatEheU3L5nSpW9FD,Come Together,spotify:track:3tE5OfatEheU3L5nSpW9FD,0.112,0.825,0.775,0.000687,0.0782,-6.161,0.0381,89.601,0.764,55
172,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",9,3AoeaZs8dFemFJr3JdzOL0,You Are Not Alone,spotify:track:3AoeaZs8dFemFJr3JdzOL0,0.639,0.651,0.402,7.73e-05,0.0765,-9.303,0.028,119.873,0.258,71
173,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",10,1Cfx6KBsyF0tEKbZbS4faj,"Childhood (Theme from ""Free Willy 2"")",spotify:track:1Cfx6KBsyF0tEKbZbS4faj,0.799,0.175,0.204,4.88e-05,0.147,-11.414,0.0362,73.106,0.0795,46
174,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",11,7n6DnNdKKhjyDa1GlGgLeQ,Tabloid Junkie,spotify:track:7n6DnNdKKhjyDa1GlGgLeQ,0.0866,0.814,0.877,7.62e-05,0.277,-7.134,0.153,111.179,0.579,50
175,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",12,5Bw9bAHGaykCFLP0VyqNbJ,2 Bad,spotify:track:5Bw9bAHGaykCFLP0VyqNbJ,0.0698,0.868,0.943,9.34e-06,0.401,-3.85,0.249,103.962,0.52,52
176,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",13,1EdzLQKCE066beJkDfaagd,History,spotify:track:1EdzLQKCE066beJkDfaagd,0.476,0.411,0.594,0.0,0.592,-7.74,0.14,92.35,0.453,47
177,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",14,0nxdtEWLQeLcJ2IQwDftAU,Little Susie / Pie Jesu,spotify:track:0nxdtEWLQeLcJ2IQwDftAU,0.836,0.318,0.182,0.000987,0.0423,-13.168,0.0351,134.638,0.0541,43
178,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",15,1iin2Ll8PHPzoh6xF6LQRh,Smile,spotify:track:1iin2Ll8PHPzoh6xF6LQRh,0.713,0.258,0.301,6.99e-05,0.107,-8.654,0.0307,85.103,0.0396,50
179,Dangerous,1,2EI8uljBPaI23VUr2tv4eS,Jam,spotify:track:2EI8uljBPaI23VUr2tv4eS,0.0487,0.884,0.96,0.0227,0.271,-4.613,0.0721,116.273,0.617,63
180,Dangerous,2,3kFMRdbxcBkPopY8mMFmSU,Why You Wanna Trip on Me,spotify:track:3kFMRdbxcBkPopY8mMFmSU,0.0127,0.889,0.727,0.00275,0.179,-5.845,0.0852,109.656,0.51,54
181,Dangerous,3,5Fy40smNxk0j5OpFMtvfaU,In the Closet,spotify:track:5Fy40smNxk0j5OpFMtvfaU,0.117,0.877,0.781,0.000746,0.149,-3.775,0.0691,110.494,0.606,63
182,Dangerous,4,6yLdWiAkS1ZUrTdgm0yKXL,She Drives Me Wild,spotify:track:6yLdWiAkS1ZUrTdgm0yKXL,0.0691,0.906,0.93,0.0,0.463,-2.081,0.206,109.544,0.643,50
183,Dangerous,5,4jnFqNWeJCeCRHc4HCdxfd,Remember the Time,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,0.153,0.831,0.921,0.00224,0.305,-2.383,0.0582,108.002,0.795,77
184,Dangerous,6,75yYXB96tX1BlSMgL0SMsA,Can't Let Her Get Away,spotify:track:75yYXB96tX1BlSMgL0SMsA,0.13,0.873,0.973,0.688,0.112,-1.947,0.127,108.489,0.582,49
185,Dangerous,7,7woW97CfcWaKtuC6W5BP2K,Heal the World,spotify:track:7woW97CfcWaKtuC6W5BP2K,0.537,0.545,0.485,1.8e-06,0.104,-8.045,0.0485,80.948,0.101,72
186,Dangerous,8,7EsjkelQuoUlJXEw7SeVV4,Black or White,spotify:track:7EsjkelQuoUlJXEw7SeVV4,0.174,0.518,0.901,0.0314,0.0712,-3.749,0.093,115.026,0.873,72
187,Dangerous,9,4HWcWgleTuUAWnVPNwW4CM,Who Is It,spotify:track:4HWcWgleTuUAWnVPNwW4CM,0.0153,0.861,0.594,0.000326,0.104,-4.658,0.121,103.159,0.506,61
188,Dangerous,10,1euDTbMNRPNfKd8zZz4zTT,Give In to Me,spotify:track:1euDTbMNRPNfKd8zZz4zTT,0.152,0.502,0.855,0.000488,0.106,-3.27,0.0305,86.968,0.337,63
189,Dangerous,11,1igW25R8lnb5ze9GWbuVsl,Will You Be There,spotify:track:1igW25R8lnb5ze9GWbuVsl,0.819,0.348,0.432,0.0856,0.191,-9.553,0.0388,82.911,0.141,56
190,Dangerous,12,4J4B9TrVrvQVS6GRPtaxrA,Keep the Faith,spotify:track:4J4B9TrVrvQVS6GRPtaxrA,0.556,0.751,0.646,0.0,0.0869,-5.547,0.0484,143.241,0.671,47
191,Dangerous,13,66mXHPRfAwbnNKnTCNpytj,Gone Too Soon,spotify:track:66mXHPRfAwbnNKnTCNpytj,0.89,0.268,0.186,0.00271,0.097,-12.736,0.0338,69.361,0.118,48
192,Dangerous,14,3u4RKvwDT3CKeYbjxqXEye,Dangerous,spotify:track:3u4RKvwDT3CKeYbjxqXEye,0.025,0.943,0.708,2.34e-05,0.0846,-4.686,0.116,112.958,0.581,61
204,Thriller,1,1hu2s7qkm5bo03eODpRQO3,Wanna Be Startin' Somethin',spotify:track:1hu2s7qkm5bo03eODpRQO3,0.0259,0.842,0.872,0.419,0.0573,-8.234,0.0455,122.111,0.906,67
205,Thriller,2,6XYbMGvtl6tlPoGWaiH7EY,Baby Be Mine,spotify:track:6XYbMGvtl6tlPoGWaiH7EY,0.0848,0.843,0.483,7.63e-06,0.0741,-10.288,0.095,109.588,0.665,68
206,Thriller,3,4IT6vDuKprKl6jyVndlY8V,The Girl Is Mine (with Paul McCartney),spotify:track:4IT6vDuKprKl6jyVndlY8V,0.225,0.681,0.527,0.0,0.0989,-10.422,0.0561,81.425,0.707,68
210,Thriller,7,4cgjA7B4fJBHyB9Ya2bu0t,Human Nature,spotify:track:4cgjA7B4fJBHyB9Ya2bu0t,0.498,0.628,0.409,0.00565,0.29,-14.348,0.0306,93.005,0.755,70
211,Thriller,8,1CgmY8fVN7kstVDZmsdM5k,P.Y.T. (Pretty Young Thing),spotify:track:1CgmY8fVN7kstVDZmsdM5k,0.172,0.894,0.67,0.000363,0.0691,-9.406,0.0474,127.209,0.961,74
212,Thriller,9,07L1pzoVerhRSSaDGZHrKy,The Lady in My Life,spotify:track:07L1pzoVerhRSSaDGZHrKy,0.369,0.662,0.344,0.000109,0.0589,-13.93,0.0487,146.016,0.436,64
213,Off the Wall,1,46eu3SBuFCXWsPT39Yg3tJ,Don't Stop 'Til You Get Enough,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,0.126,0.878,0.821,0.0461,0.183,-9.875,0.089,118.881,0.947,78
214,Off the Wall,2,7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,spotify:track:7oOOI85fVQvVnK5ynNMdW7,0.179,0.808,0.535,9.91e-05,0.158,-12.521,0.0353,114.031,0.848,79
215,Off the Wall,3,6BdiFsPMPkSEEO4fFXFVWX,Workin' Day and Night,spotify:track:6BdiFsPMPkSEEO4fFXFVWX,0.0461,0.907,0.875,0.00349,0.13,-11.001,0.0635,129.797,0.865,62
216,Off the Wall,4,78XG7U0UueeC86XpzF9O7f,Get on the Floor,spotify:track:78XG7U0UueeC86XpzF9O7f,0.0629,0.809,0.892,0.344,0.0334,-11.443,0.0437,124.435,0.89,55
217,Off the Wall,5,3zYpRGnnoegSpt3SguSo3W,Off the Wall,spotify:track:3zYpRGnnoegSpt3SguSo3W,0.182,0.827,0.595,0.0,0.0785,-13.909,0.0565,118.741,0.921,69
218,Off the Wall,6,1nCV2d1RAch7t2kRmwet5N,Girlfriend,spotify:track:1nCV2d1RAch7t2kRmwet5N,0.4,0.883,0.4,1.33e-05,0.0756,-14.882,0.0498,102.767,0.905,54
219,Off the Wall,7,6NGsHLZYGVAkXTFr75WWnn,She's Out of My Life - Single Version,spotify:track:6NGsHLZYGVAkXTFr75WWnn,0.962,0.293,0.0348,0.000212,0.105,-23.92,0.0414,130.959,0.101,59
220,Off the Wall,8,1HibhNhwk2tljwC4BGGLXV,I Can't Help It,spotify:track:1HibhNhwk2tljwC4BGGLXV,0.704,0.684,0.394,5.76e-06,0.178,-19.075,0.0908,100.068,0.429,62
221,Off the Wall,9,0CeE7kE8zAnfKIVpdmOaJl,It's the Falling in Love,spotify:track:0CeE7kE8zAnfKIVpdmOaJl,0.206,0.794,0.551,1.01e-05,0.289,-14.607,0.0498,105.547,0.91,53
222,Off the Wall,10,6aCs8gCrp4yrwvw7ylhau2,Burn This Disco Out,spotify:track:6aCs8gCrp4yrwvw7ylhau2,0.213,0.847,0.709,0.000252,0.0473,-11.343,0.0335,116.458,0.961,51
223,"Forever, Michael",1,5kazs4V71SpcTVUTcorIyJ,We're Almost There,spotify:track:5kazs4V71SpcTVUTcorIyJ,0.0989,0.573,0.853,0.0,0.299,-9.047,0.071,93.524,0.776,34
224,"Forever, Michael",2,7MkLxkbdYmH31jvfF4EKcM,Take Me Back,spotify:track:7MkLxkbdYmH31jvfF4EKcM,0.497,0.653,0.729,0.000682,0.273,-9.99,0.0366,99.629,0.772,28
225,"Forever, Michael",3,7vtaQNW7QHtQsLeshQlm3D,One Day In Your Life,spotify:track:7vtaQNW7QHtQsLeshQlm3D,0.506,0.294,0.483,0.0185,0.128,-11.674,0.031,79.946,0.174,47
226,"Forever, Michael",4,0TlpbHiPR7XohVbxWR6UN4,Cinderella Stay Awhile,spotify:track:0TlpbHiPR7XohVbxWR6UN4,0.157,0.694,0.554,0.000295,0.16,-11.292,0.0343,129.977,0.825,24
227,"Forever, Michael",5,3RIFkp2Q4GSi0VdGJTLWUP,We've Got Forever,spotify:track:3RIFkp2Q4GSi0VdGJTLWUP,0.155,0.457,0.697,0.000124,0.128,-11.566,0.0829,174.165,0.566,23
228,"Forever, Michael",6,5u4kX7qmMLc4qN8xfr0pT9,Just A Little Bit Of You,spotify:track:5u4kX7qmMLc4qN8xfr0pT9,0.57,0.735,0.673,0.0,0.0887,-9.703,0.0343,110.15,0.919,27
229,"Forever, Michael",7,36DLONTcnfObcVEytGjymm,You Are There,spotify:track:36DLONTcnfObcVEytGjymm,0.295,0.302,0.491,7.83e-05,0.105,-8.352,0.0327,89.145,0.257,24
230,"Forever, Michael",8,7xSCBsSlvGhMvJa5MtKLVU,Dapper Dan,spotify:track:7xSCBsSlvGhMvJa5MtKLVU,0.0142,0.623,0.634,0.0,0.28,-9.257,0.0692,161.206,0.827,23
231,"Forever, Michael",9,2cpYpgS7V9z1uoTBA8FOhQ,Dear Michael,spotify:track:2cpYpgS7V9z1uoTBA8FOhQ,0.273,0.549,0.604,3.89e-06,0.168,-8.421,0.0319,143.206,0.639,31
232,"Forever, Michael",10,3QAw8W7F2jSMjsJGAXvNCP,I'll Come Home To You,spotify:track:3QAw8W7F2jSMjsJGAXvNCP,0.262,0.45,0.659,1.38e-05,0.216,-10.021,0.0403,99.833,0.462,23
233,Music and Me,1,0ls2HeVRI2LELC9uk43Kje,With A Child's Heart,spotify:track:0ls2HeVRI2LELC9uk43Kje,0.622,0.525,0.416,0.00143,0.154,-11.315,0.0352,150.231,0.263,28
234,Music and Me,2,6Fx7JOYuLE9qLCpqbGP007,Up Again,spotify:track:6Fx7JOYuLE9qLCpqbGP007,0.249,0.684,0.581,5.94e-05,0.329,-7.774,0.031,77.236,0.592,24
235,Music and Me,3,4DDOgnNo7c3s6OyFz1qcva,All The Things You Are,spotify:track:4DDOgnNo7c3s6OyFz1qcva,0.0957,0.523,0.82,0.0216,0.0517,-6.911,0.04,137.798,0.716,25
236,Music and Me,4,6BDMvjPOmi6GxxDCkhriRw,"Happy (Love Theme From ""Lady Sings The Blues"")",spotify:track:6BDMvjPOmi6GxxDCkhriRw,0.276,0.37,0.562,0.000214,0.108,-6.801,0.0278,168.104,0.516,26
237,Music and Me,5,79CnUb0xbPX1RownugyB6i,Too Young,spotify:track:79CnUb0xbPX1RownugyB6i,0.466,0.274,0.197,0.00083,0.126,-13.011,0.0299,81.225,0.147,21
238,Music and Me,6,3OjmX0r4YC4X9W4vOdad61,Doggin' Around,spotify:track:3OjmX0r4YC4X9W4vOdad61,0.149,0.355,0.754,0.000491,0.0788,-8.829,0.0855,185.782,0.944,21
239,Music and Me,7,6aimcSBT324jkydqeiCIh6,Johnny Raven,spotify:track:6aimcSBT324jkydqeiCIh6,0.275,0.673,0.764,8.36e-05,0.072,-6.302,0.0289,111.354,0.848,19
240,Music and Me,8,4i06h7zcGD2JXZRq8ZJoc4,Euphoria,spotify:track:4i06h7zcGD2JXZRq8ZJoc4,0.0376,0.52,0.808,0.00493,0.227,-6.889,0.0596,151.521,0.938,21
241,Music and Me,9,3XIPO30JGpeTGCpCA7OO0X,Morning Glow - Single Version,spotify:track:3XIPO30JGpeTGCpCA7OO0X,0.147,0.609,0.574,0.00102,0.0504,-8.213,0.0241,100.627,0.761,20
242,Music and Me,10,0QBDsZH9PDnKVQBxEcefku,Music And Me,spotify:track:0QBDsZH9PDnKVQBxEcefku,0.731,0.352,0.276,0.000143,0.144,-11.737,0.0274,148.518,0.219,32
243,Ben,1,0ZFqB9g2FujbmMSrjqsL3j,Ben - Single Version,spotify:track:0ZFqB9g2FujbmMSrjqsL3j,0.911,0.435,0.161,0.000214,0.113,-10.84,0.0298,136.166,0.291,57
244,Ben,2,2nnr3G4e3vK7A13JAMipsh,Greatest Show On Earth,spotify:track:2nnr3G4e3vK7A13JAMipsh,0.437,0.485,0.745,0.0015,0.0488,-6.819,0.0579,154.838,0.731,26
245,Ben,3,17V6RQvamKW60OKA837Qu5,People Make The World Go 'Round,spotify:track:17V6RQvamKW60OKA837Qu5,0.627,0.437,0.308,0.000902,0.0976,-11.249,0.0349,183.468,0.678,28
246,Ben,4,3djgZShPRIMqtyOA2FjGlN,We've Got A Good Thing Going - Single Version,spotify:track:3djgZShPRIMqtyOA2FjGlN,0.567,0.612,0.41,0.000386,0.0943,-12.579,0.0418,176.724,0.706,30
247,Ben,5,1xHEwl4Z3pUHLHby6zlUxP,Everybody's Somebody's Fool,spotify:track:1xHEwl4Z3pUHLHby6zlUxP,0.432,0.562,0.625,0.00033,0.474,-6.874,0.0381,146.189,0.854,26
248,Ben,6,4nWZKEZc09aCT68d7cIoGT,My Girl,spotify:track:4nWZKEZc09aCT68d7cIoGT,0.293,0.734,0.554,0.000584,0.0695,-8.336,0.0315,105.618,0.83,32
249,Ben,7,0YdYfB1j3plixqB8yia7GT,What Goes Around Comes Around,spotify:track:0YdYfB1j3plixqB8yia7GT,0.42,0.548,0.771,2.13e-05,0.05,-10.208,0.0432,101.179,0.775,24
251,Ben,9,6KnZ1CjqZXlWZdsra4ObEg,Shoo-Be-Doo-Be-Doo-Da-Day,spotify:track:6KnZ1CjqZXlWZdsra4ObEg,0.287,0.724,0.857,0.00023,0.077,-6.228,0.0514,130.842,0.961,23
252,Ben,10,5j1hnJbfDm8WmqdZ0MPmbo,You Can Cry On My Shoulder - Single Version,spotify:track:5j1hnJbfDm8WmqdZ0MPmbo,0.256,0.541,0.506,3.26e-06,0.0821,-8.958,0.0305,121.766,0.798,22
253,Got To Be There,1,5ou2nZT8UQJn1nuiUxAyjs,Ain't No Sunshine,spotify:track:5ou2nZT8UQJn1nuiUxAyjs,0.0281,0.529,0.616,2.15e-05,0.0796,-9.903,0.0511,151.991,0.736,39
254,Got To Be There,2,3mnVgyzn5HC7Sqkn3B5zHs,I Wanna Be Where You Are,spotify:track:3mnVgyzn5HC7Sqkn3B5zHs,0.469,0.605,0.843,0.00235,0.118,-8.546,0.0604,103.817,0.662,46
255,Got To Be There,3,2laojQD1QCqjvmMn8lFlPk,Girl Don't Take Your Love From Me,spotify:track:2laojQD1QCqjvmMn8lFlPk,0.212,0.485,0.583,0.0,0.0573,-8.564,0.0264,176.403,0.779,29
256,Got To Be There,4,6m6WAwH7v59fGJQz2luaXN,In Our Small Way,spotify:track:6m6WAwH7v59fGJQz2luaXN,0.508,0.299,0.477,0.0,0.156,-8.571,0.0281,180.979,0.581,25
257,Got To Be There,5,08QvVJT8y6b0i2nH9mUeMj,Got To Be There - Single Version,spotify:track:08QvVJT8y6b0i2nH9mUeMj,0.11,0.349,0.569,0.000122,0.0416,-9.512,0.0434,171.354,0.721,46
258,Got To Be There,6,63gcHyuhAC8G2C0bVQUOJI,Rockin' Robin,spotify:track:63gcHyuhAC8G2C0bVQUOJI,0.24,0.622,0.721,7.88e-05,0.271,-8.224,0.0983,173.395,0.968,52
259,Got To Be There,7,5h6EHy1GvTcGrpedGZCPHL,Wings Of My Love,spotify:track:5h6EHy1GvTcGrpedGZCPHL,0.282,0.593,0.486,0.0296,0.0844,-11.095,0.0305,118.724,0.589,25
260,Got To Be There,8,0w5Jpsn5Hr3CZkN2TvE681,Maria (You Were The Only One) - Single Version,spotify:track:0w5Jpsn5Hr3CZkN2TvE681,0.0273,0.418,0.645,1.59e-05,0.107,-8.879,0.0751,157.98,0.538,28
261,Got To Be There,9,1UWM5Y6O7jU4ec2iaNn1os,Love Is Here And Now You're Gone,spotify:track:1UWM5Y6O7jU4ec2iaNn1os,0.0558,0.649,0.753,0.0557,0.121,-8.964,0.0499,123.064,0.83,25
262,Got To Be There,10,1jrJQ1Gib2ubaxAXe1z2Jc,You've Got A Friend,spotify:track:1jrJQ1Gib2ubaxAXe1z2Jc,0.501,0.543,0.635,1.13e-06,0.0955,-8.967,0.0351,168.399,0.81,29
